Study,Arm,Arm2,N,ACM,CV Death,MI,Stroke,ST,Major Bleeding,Major or Minor Bleeding,CV Death or MI,Death or MI
RESET,ASA only ,ASA only,1059,5,2,2,6,2,2,5,4,6
OPTIMIZE,ASA only ,ASA only,1563,43,29,49,5,13,10,35,70,82
REDUCE,ASA only ,ASA only,751,14,8,17,2,9,,19,,
PRODIGY ,ASA only ,ASA only 6m,983,65,37,41,14,15,6,15,,94
NIPPON,ASA only ,ASA only 6m,1654,16,8,4,7,2,11,,,
OPTIMA C,ASA only ,ASA only 6m,683,2,1,2,,,,,,
ITALIC,ASA only ,ASA only 6m,912,8,5,6,0,3,0,5,,22
ISAR-SAFE,ASA only ,ASA only 6m,1997,8,,13,7,5,4,6,,
SECURITY,ASA only ,ASA only 6m,682,8,5,16,6,2,4,5,,
EXCELLENT,ASA only ,ASA only 6m,722,4,2,13,3,6,2,4,17,17
DAPT STEMI,ASA only ,ASA only 6m,433,3,2,8,3,3,1,3,,
SMART DATE,ASA only ,ASA only 6m,1357,35,18,24,11,15,6,35,39,39
IVUS XPL,ASA only ,ASA only 6m,699,5,3,1,6,2,5,,,
I Love it 2,ASA only ,ASA only 6m,909,11,6,41,11,5,11,50,,
RESET,DAPT,DAPT,1058,8,4,4,6,3,6,10,7,8
OPTIMIZE,DAPT,DAPT,1556,45,32,42,5,12,14,45,62,73
REDUCE,DAPT,DAPT,745,6,3,14,3,3,,22,,
PRODIGY ,DAPT ,DAPT ,987,65,36,39,21,13,16,27,,88
NIPPON,DAPT ,DAPT ,1653,7,4,1,6,1,12,,,
OPTIMA C,DAPT,DAPT,684,3,2,0,,,,,,
ITALIC,DAPT,DAPT,910,7,3,4,4,0,3,7,,27
ISAR-SAFE,DAPT,DAPT,2003,12,,14,5,4,5,13,,
SECURITY,DAPT,DAPT,717,8,3,15,2,3,8,8,,
EXCELLENT,DAPT,DAPT,721,7,3,7,5,1,4,10,14,14
DAPT STEMI,DAPT,DAPT,437,6,4,8,3,4,2,5,,
SMART DATE,DAPT,DAPT,1355,39,24,10,12,10,10,51,32,32
IVUS XPL,DAPT,DAPT,701,10,5,0,3,2,7,,,
I Love it 2,DAPT,DAPT,920,14,7,36,13,2,6,52,,
GLOBAL LEADERS,P2Y12 only,P2Y12 only,7980,108,,179,52,53,117,,156,304
SMART CHOICE,P2Y12 only,P2Y12 only,1495,21,11,11,11,3,12,28,21,31
STOP DAPT 2,P2Y12 only,P2Y12 only,1500,21,9,13,8,4,3,6,21,32
TWILIGHT,P2Y12 only,P2Y12 only,3555,34,26,95,16,14,34,141,,
GLOBAL LEADERS,DAPT,DAPT,7988,131,,158,49,41,136,,197,349
SMART CHOICE,DAPT,DAPT,1498,18,13,17,5,2,14,49,27,32
STOP DAPT 2,DAPT,DAPT,1509,18,11,11,16,1,16,23,22,29
TWILIGHT,DAPT,DAPT,3564,45,37,95,8,19,69,250,,
