Endpoint,Treatment1,Treatment2,OR,LB,UB,pval
ACM,DAPT,ASA only,1.046,0.813,1.346,0.726
ACM,P2Y12 only,ASA only,0.788,0.538,1.154,0.22
ACM,ASA only,DAPT,0.956,0.743,1.23,0.726
ACM,P2Y12 only,DAPT,0.753,0.565,1.003,0.052
ACM,ASA only,P2Y12 only,1.27,0.867,1.86,0.22
ACM,DAPT,P2Y12 only,1.328,0.997,1.77,0.052
CV Death,DAPT,ASA only,1.109,0.798,1.541,0.537
CV Death,ASA only,DAPT,0.902,0.649,1.252,0.537
MI,DAPT,ASA only,0.782,0.596,1.027,0.077
MI,P2Y12 only,ASA only,0.815,0.575,1.156,0.252
MI,ASA only,DAPT,1.278,0.974,1.678,0.077
MI,P2Y12 only,DAPT,1.042,0.837,1.298,0.711
MI,ASA only,P2Y12 only,1.227,0.865,1.739,0.252
MI,DAPT,P2Y12 only,0.959,0.771,1.194,0.711
ST,DAPT,ASA only,0.644,0.424,0.979,0.04
ST,P2Y12 only,ASA only,0.599,0.321,1.119,0.108
ST,ASA only,DAPT,1.552,1.021,2.359,0.04
ST,P2Y12 only,DAPT,0.93,0.585,1.479,0.759
ST,ASA only,P2Y12 only,1.669,0.894,3.118,0.108
ST,DAPT,P2Y12 only,1.075,0.676,1.71,0.759
Major Bleeding,DAPT,ASA only,1.036,0.626,1.715,0.891
Major Bleeding,P2Y12 only,ASA only,0.547,0.279,1.07,0.078
Major Bleeding,ASA only,DAPT,0.965,0.583,1.598,0.891
Major Bleeding,P2Y12 only,DAPT,0.528,0.339,0.822,0.005
Major Bleeding,ASA only,P2Y12 only,1.829,0.935,3.579,0.078
Major Bleeding,DAPT,P2Y12 only,1.895,1.216,2.951,0.005
Major or Minor Bleeding,DAPT,ASA only,1.275,0.937,1.735,0.122
Major or Minor Bleeding,P2Y12 only,ASA only,0.775,0.51,1.177,0.232
Major or Minor Bleeding,ASA only,DAPT,0.784,0.576,1.067,0.122
Major or Minor Bleeding,P2Y12 only,DAPT,0.608,0.458,0.807,0.001
Major or Minor Bleeding,ASA only,P2Y12 only,1.29,0.849,1.959,0.232
Major or Minor Bleeding,DAPT,P2Y12 only,1.645,1.24,2.182,0.001
